,NAME,DATE,PRCP,TAVG,TMAX,TMIN
295,Kurunegala Proper,2019-12-26,0.0,82.0,82.25931,73.0
296,Kurunegala Proper,2019-12-27,0.0,85.0,90.0,71.0
297,Kurunegala Proper,2019-12-28,0.0,85.0,91.0,70.0
298,Kurunegala Proper,2019-12-29,0.0,82.0,90.0,72.0
299,Kurunegala Proper,2019-12-30,0.0,82.0,90.0,70.0
300,Kurunegala Proper,2019-12-31,0.0,83.0,90.0,72.0
301,Kurunegala Proper,2020-01-01,0.0,83.0,91.0,73.0
302,Kurunegala Proper,2020-01-02,0.0,82.0,90.0,73.0
303,Kurunegala Proper,2020-01-03,0.0,88.0,93.0,73.0
304,Kurunegala Proper,2020-01-04,0.0,88.0,93.0,73.0
305,Kurunegala Proper,2020-01-05,0.0,85.0,94.0,72.0
306,Kurunegala Proper,2020-01-06,0.0,84.0,94.0,71.0
307,Kurunegala Proper,2020-01-07,0.0,84.0,93.0,72.0
308,Kurunegala Proper,2020-01-08,0.0,83.0,90.0,75.0
309,Kurunegala Proper,2020-01-09,0.0,83.0,92.0,71.0
310,Kurunegala Proper,2020-01-10,0.0,85.0,91.0,69.0
311,Kurunegala Proper,2020-01-11,0.0,86.0,91.0,71.0
312,Kurunegala Proper,2020-01-12,0.0,84.0,90.0,68.77463
313,Kurunegala Proper,2020-01-13,0.0,82.0,90.0,72.0
314,Kurunegala Proper,2020-01-14,0.0,81.0,90.0,69.0
315,Kurunegala Proper,2020-01-15,0.0,81.0,90.0,68.0
316,Kurunegala Proper,2020-01-16,0.0,83.0,92.0,68.0
317,Kurunegala Proper,2020-01-17,0.0,84.0,90.0,72.0
318,Kurunegala Proper,2020-01-18,0.02,86.0,94.0,72.0
319,Kurunegala Proper,2020-01-19,0.0,84.0,96.0,72.0
320,Kurunegala Proper,2020-01-20,0.06,84.0,94.0,74.0
321,Kurunegala Proper,2020-01-21,0.0,84.0,93.0,76.0
322,Kurunegala Proper,2020-01-22,0.65,80.0,86.0,68.77463
323,Kurunegala Proper,2020-01-23,0.15,83.0,90.0,74.0
324,Kurunegala Proper,2020-01-24,0.0,88.0,93.0,72.0
325,Kurunegala Proper,2020-01-25,0.0,86.0,92.0,72.0
326,Kurunegala Proper,2020-01-26,0.0,83.0,82.25931,73.0
327,Kurunegala Proper,2020-01-27,0.0,83.0,82.25931,72.0
328,Kurunegala Proper,2020-01-28,0.0,82.0,92.0,69.0
329,Kurunegala Proper,2020-01-29,0.0,83.0,92.0,69.0
330,Kurunegala Proper,2020-01-30,0.0,82.0,93.0,68.0
331,Kurunegala Proper,2020-01-31,0.0,87.0,93.0,70.0
332,Kurunegala Proper,2020-02-01,0.0,82.0,92.0,67.0
333,Kurunegala Proper,2020-02-02,0.0,82.0,94.0,69.0
334,Kurunegala Proper,2020-02-03,0.0,82.0,94.0,71.0
335,Kurunegala Proper,2020-02-04,0.0,83.0,91.0,72.0
336,Kurunegala Proper,2020-02-05,0.0,83.0,95.0,71.0
337,Kurunegala Proper,2020-02-06,0.0,82.0,93.0,71.0
338,Kurunegala Proper,2020-02-07,0.0,81.0,93.0,70.0
339,Kurunegala Proper,2020-02-08,0.0,82.0,96.0,69.0
340,Kurunegala Proper,2020-02-09,0.0,82.0,96.0,69.0
341,Kurunegala Proper,2020-02-10,0.0,81.0,93.0,69.0
342,Kurunegala Proper,2020-02-11,0.0,84.0,94.0,71.0
343,Kurunegala Proper,2020-02-12,0.0,83.0,92.0,78.0
344,Kurunegala Proper,2020-02-13,0.0,83.0,91.0,78.0
345,Kurunegala Proper,2020-02-14,0.0,84.0,94.0,75.0
