,HCHO_reading,Location,Current_Date
274,0.00021058682615315478,Colombo Proper,2019-10-31
275,0.00013964581156198584,Colombo Proper,2019-11-01
276,0.00010207672051579292,Colombo Proper,2019-11-02
277,0.00010207672051579292,Colombo Proper,2019-11-03
278,0.0001659270451597314,Colombo Proper,2019-11-04
279,0.00022032403197048189,Colombo Proper,2019-11-05
280,0.00010850774930718768,Colombo Proper,2019-11-06
281,0.0001533303704185032,Colombo Proper,2019-11-07
282,2.449133360208192e-05,Colombo Proper,2019-11-08
283,2.449133360208192e-05,Colombo Proper,2019-11-09
284,9.954417328117415e-05,Colombo Proper,2019-11-10
285,0.0002464783486751575,Colombo Proper,2019-11-11
286,0.00022867480778989612,Colombo Proper,2019-11-12
287,0.00022867480778989612,Colombo Proper,2019-11-13
288,0.00010585084429531501,Colombo Proper,2019-11-14
289,0.00030495616036308647,Colombo Proper,2019-11-15
290,0.00011812695955077446,Colombo Proper,2019-11-16
291,0.00021635686380833276,Colombo Proper,2019-11-17
292,0.0002562980434127043,Colombo Proper,2019-11-18
293,0.0002262293126616732,Colombo Proper,2019-11-19
294,0.00011831086490211988,Colombo Proper,2019-11-20
295,0.0002690103541566053,Colombo Proper,2019-11-21
296,0.00024063424610616224,Colombo Proper,2019-11-22
297,3.679902874864638e-05,Colombo Proper,2019-11-23
298,5.579817723156864e-05,Colombo Proper,2019-11-24
299,5.579817723156864e-05,Colombo Proper,2019-11-25
300,0.0001413787106896712,Colombo Proper,2019-11-26
301,0.00020783471999290634,Colombo Proper,2019-11-27
302,5.68003627756596e-05,Colombo Proper,2019-11-28
303,5.68003627756596e-05,Colombo Proper,2019-11-29
304,0.00017049506697583964,Colombo Proper,2019-12-01
305,0.00014863180439011388,Colombo Proper,2019-12-02
306,0.00010228400060441345,Colombo Proper,2019-12-03
307,0.00010228400060441345,Colombo Proper,2019-12-04
308,0.00010228400060441345,Colombo Proper,2019-12-05
309,0.00013228345076440664,Colombo Proper,2019-12-06
310,0.00013228345076440664,Colombo Proper,2019-12-07
311,0.00014744970608490858,Colombo Proper,2019-12-08
312,0.00014744970608490858,Colombo Proper,2019-12-09
313,0.00018598558175317927,Colombo Proper,2019-12-10
314,0.00012284358622023406,Colombo Proper,2019-12-11
315,0.00010424578556875465,Colombo Proper,2019-12-12
316,0.00021649416912227894,Colombo Proper,2019-12-13
317,0.0002754981434700852,Colombo Proper,2019-12-16
318,0.00012149609064142323,Colombo Proper,2019-12-17
319,0.00012149609064142323,Colombo Proper,2019-12-18
320,-4.637232239424427e-05,Colombo Proper,2019-12-19
321,-4.637232239424427e-05,Colombo Proper,2019-12-20
322,7.94898009867197e-05,Colombo Proper,2019-12-21
323,7.94898009867197e-05,Colombo Proper,2019-12-22
324,0.00014850558862324745,Colombo Proper,2019-12-23
325,0.0002550241906414324,Colombo Proper,2019-12-24
326,4.728911813486761e-05,Colombo Proper,2019-12-25
327,0.0002037281242062879,Colombo Proper,2019-12-26
328,0.0002416867643049767,Colombo Proper,2019-12-27
329,0.00011446567844384171,Colombo Proper,2019-12-28
330,0.0001522148543134837,Colombo Proper,2019-12-29
331,0.0002942146156084754,Colombo Proper,2019-12-30
332,0.0002942146156084754,Colombo Proper,2019-12-31
333,0.00019095603014470568,Colombo Proper,2020-01-01
334,0.0001758197167120249,Colombo Proper,2020-01-02
335,0.0001811470054066706,Colombo Proper,2020-01-03
336,0.00022215057650497484,Colombo Proper,2020-01-04
337,0.00014516388393212616,Colombo Proper,2020-01-05
338,0.00023126829603043478,Colombo Proper,2020-01-06
339,0.00016550641808501151,Colombo Proper,2020-01-07
340,0.000159444721198686,Colombo Proper,2020-01-08
341,0.0001765471459148939,Colombo Proper,2020-01-09
342,0.0002859636573313188,Colombo Proper,2020-01-10
343,8.481429740966081e-05,Colombo Proper,2020-01-11
344,0.00010708493420632839,Colombo Proper,2020-01-12
345,0.00023941961766201446,Colombo Proper,2020-01-13
346,0.00023421432398674675,Colombo Proper,2020-01-14
347,0.0002480890194684822,Colombo Proper,2020-01-15
348,0.0002480890194684822,Colombo Proper,2020-01-16
349,0.00025165356257570023,Colombo Proper,2020-01-17
350,0.0001968408803631077,Colombo Proper,2020-01-18
